Nitrogen,Phosphorus,Potassium,Moisture,Temperature,Conductivity,pH,Label
32.66,16.67,27.07,55.59,24.54,0.3,7.18,Loamy Soil
26.8,12.36,20.55,49.71,19.97,0.26,7.35,Loamy Soil
35.47,17.98,29.36,56.84,24.34,0.38,6.8,Loamy Soil
33.12,15.81,26.28,55.34,23.23,0.34,7.02,Loamy Soil
28.74,14.14,22.24,51.03,20.91,0.36,7.28,Loamy Soil
37.39,18.46,28.8,57.66,24.59,0.29,7.46,Loamy Soil
41.98,14.81,31.46,59.48,26.35,0.38,6.54,Loamy Soil
26.58,12.67,20,48.77,17.91,0.33,6.85,Loamy Soil
31.91,16.03,24.28,53.19,21.37,0.36,7.24,Loamy Soil
39.99,20.73,27.71,58.91,25.95,0.32,7.48,Loamy Soil
34.32,18.38,26.19,54.49,23,0.28,7.01,Loamy Soil
28.46,12.08,19.67,50.61,18.43,0.34,6.68,Loamy Soil
36.13,16.78,28.53,56.74,23.78,0.37,6.84,Loamy Soil
32.78,15.22,27.12,56.22,23.45,0.31,7.17,Loamy Soil
27.39,14.56,23.05,51.91,21.12,0.32,6.49,Loamy Soil
36.04,19.89,29.58,58.13,24.79,0.35,7.2,Loamy Soil
40.6,15.24,31.24,59.95,26.25,0.39,6.86,Loamy Soil
25.68,13.1,20.88,50.26,18.14,0.29,7.45,Loamy Soil
30.01,16.45,25.35,54.64,22.6,0.33,6.98,Loamy Soil
38.09,20.15,27.79,59.77,26.18,0.36,6.72,Loamy Soil
32.42,17.8,26.27,55.35,24.23,0.3,6.94,Loamy Soil
26.56,13.49,20.55,49.94,19.67,0.26,7.11,Loamy Soil
35.23,17.14,29.08,56.07,23.49,0.38,7.35,Loamy Soil
31.98,14.81,26.98,55.98,23.11,0.34,7.02,Loamy Soil
27.59,14.14,23.91,51.67,20.79,0.36,7.28,Loamy Soil
36.24,18.46,29.37,58.3,24.45,0.29,7.46,Loamy Soil
40.8,13.81,32.04,60.12,26.21,0.38,6.54,Loamy Soil
25.88,12.67,20.44,50.39,17.83,0.33,6.85,Loamy Soil
31.21,16.03,24.75,54.78,22.29,0.36,7.24,Loamy Soil
39.29,20.73,28.51,60.51,25.87,0.32,7.48,Loamy Soil
33.62,18.38,26.99,55.09,23.43,0.28,7.01,Loamy Soil
27.76,12.08,19.6,50.21,18.29,0.34,6.68,Loamy Soil
36.43,16.78,28.76,56.53,23.63,0.37,6.84,Loamy Soil
32.09,15.22,27.65,56.52,23.75,0.31,7.17,Loamy Soil
26.7,14.56,23.58,52.21,21.43,0.32,6.49,Loamy Soil
35.35,19.89,30.14,58.43,24.97,0.35,7.2,Loamy Soil
39.91,15.24,31.8,60.25,26.43,0.39,6.86,Loamy Soil
26.99,13.1,21.22,50.78,18.58,0.29,7.45,Loamy Soil
31.32,16.45,25.71,55.16,22.75,0.33,6.98,Loamy Soil
38.4,20.15,28.94,60.64,26.3,0.36,6.72,Loamy Soil
32.73,17.8,26.61,55.73,24.38,0.3,6.94,Loamy Soil
26.87,13.49,20.89,50.05,19.51,0.26,7.11,Loamy Soil
35.54,17.14,29.44,56.2,23.92,0.38,7.35,Loamy Soil
31.77,14.32,26.83,55.56,23.33,0.34,7.08,Loamy Soil
27.38,14.65,23.76,51.25,21.01,0.36,7.34,Loamy Soil
36.03,18.97,29.22,58.47,24.65,0.29,7.02,Loamy Soil
40.59,13.32,31.88,60.29,26.11,0.38,6.69,Loamy Soil
25.87,12.98,20.36,50.17,17.74,0.33,6.9,Loamy Soil
31.2,16.33,24.67,54.85,22.19,0.36,7.29,Loamy Soil
39.28,20.03,28.36,60.58,25.77,0.32,7.48,Loamy Soil
33.61,17.68,26.14,55.17,23.31,0.28,7.01,Loamy Soil
27.75,12.28,19.68,50.29,18.14,0.34,6.68,Loamy Soil
36.42,16.88,28.6,56.42,23.69,0.37,6.84,Loamy Soil
32.08,15.02,27.48,56.63,23.81,0.31,7.17,Loamy Soil
26.69,14.36,23.51,52.32,21.31,0.32,6.49,Loamy Soil
35.34,19.68,29.05,58.54,24.87,0.35,7.2,Loamy Soil
39.9,15.14,31.71,60.36,26.43,0.39,6.86,Loamy Soil
26.98,13.43,21.11,50.92,18.39,0.29,7.45,Loamy Soil
31.31,16.78,25.64,55.26,22.67,0.33,6.98,Loamy Soil
38.39,20.48,28.88,60.71,25.98,0.36,6.72,Loamy Soil
32.72,17.34,26.4,55.84,24.22,0.3,6.94,Loamy Soil
26.86,13.01,20.81,50.12,19.03,0.26,7.11,Loamy Soil
35.53,17.68,29.2,56.11,23.97,0.38,7.35,Loamy Soil
31.77,14.22,26.68,55.41,23.21,0.34,7.08,Loamy Soil
27.38,14.55,23.61,51.1,20.89,0.36,7.34,Loamy Soil
35.03,18.86,28.93,58.14,24.54,0.29,7.02,Loamy Soil
39.59,13.77,31.59,59.95,26,0.38,6.69,Loamy Soil
25.68,12.88,20.29,50.03,17.66,0.33,6.9,Loamy Soil
31.19,16.22,24.54,54.71,22.07,0.36,7.29,Loamy Soil
39.28,19.93,28.22,60.67,25.66,0.32,7.48,Loamy Soil
33.6,17.58,26,55,23.18,0.28,7.01,Loamy Soil
27.75,12.18,19.78,50.13,18,0.34,6.68,Loamy Soil
36.39,16.78,28.49,56.36,23.55,0.37,6.84,Loamy Soil
32.08,14.92,27.37,56.52,23.67,0.31,7.17,Loamy Soil
26.69,14.26,23.44,52.32,20.99,0.32,6.49,Loamy Soil
35.28,19.68,29,58.39,24.8,0.35,7.2,Loamy Soil
39.87,15.04,31.65,60.43,26.38,0.39,6.86,Loamy Soil
26.88,13.39,21,50.86,18.28,0.29,7.45,Loamy Soil
31.27,16.72,25.49,55.17,22.56,0.33,6.98,Loamy Soil
38.38,20.48,28.83,60.71,25.92,0.36,6.72,Loamy Soil
32.71,17.24,26.27,55.79,24.17,0.3,6.94,Loamy Soil
26.87,12.97,20.73,50.08,19.12,0.26,7.11,Loamy Soil
35.54,17.78,29.15,56.21,24,0.38,7.35,Loamy Soil
31.97,14.31,26.97,55.97,23.1,0.34,7.09,Loamy Soil
27.58,14.14,23.89,51.67,20.78,0.36,7.33,Loamy Soil
36.08,18.47,29.27,58.27,24.43,0.29,7.03,Loamy Soil
40.66,13.79,32.07,60.08,25.99,0.38,6.7,Loamy Soil
25.77,12.88,20.29,50.02,17.75,0.33,6.9,Loamy Soil
31.28,16.21,24.63,54.81,22.08,0.36,7.28,Loamy Soil
39.37,20.02,28.32,60.61,25.68,0.32,7.48,Loamy Soil
33.69,17.57,26.12,55.08,23.16,0.28,7.02,Loamy Soil
27.86,12.17,19.89,50.1,18.01,0.34,6.68,Loamy Soil
36.57,16.77,28.43,56.46,23.47,0.37,6.83,Loamy Soil
32.17,14.91,27.26,56.61,23.59,0.31,7.16,Loamy Soil
26.78,14.25,23.52,52.31,21,0.32,6.48,Loamy Soil
35.48,19.67,29.07,58.46,24.79,0.35,7.19,Loamy Soil
39.97,15.03,31.76,60.35,26.37,0.39,6.86,Loamy Soil
26.97,13.38,21.18,50.89,18.27,0.29,7.44,Loamy Soil
31.38,16.71,25.54,55.26,22.55,0.33,6.99,Loamy Soil
38.48,20.47,28.87,60.7,25.91,0.36,6.72,Loamy Soil
32.77,17.23,26.39,55.83,24.16,0.3,6.94,Loamy Soil
26.86,12.96,20.8,50.11,19.11,0.26,7.1,Loamy Soil
35.58,17.77,29.14,56.22,23.99,0.38,7.35,Loamy Soil
31.88,14.52,26.77,55.76,23.42,0.34,7.07,Loamy Soil
27.49,14.45,23.7,51.45,21.1,0.36,7.32,Loamy Soil
36.14,18.56,29.12,58.58,24.68,0.29,7.04,Loamy Soil
40.7,13.95,32.19,60.39,26.06,0.38,6.71,Loamy Soil
25.79,12.98,20.39,50.05,17.84,0.33,6.89,Loamy Soil
31.3,16.34,24.75,54.79,22.21,0.36,7.27,Loamy Soil
39.38,20.12,28.45,60.63,25.7,0.32,7.47,Loamy Soil
33.71,17.76,26.21,55.06,23.14,0.28,7.01,Loamy Soil
27.87,12.27,19.99,50.09,18.09,0.34,6.68,Loamy Soil
36.58,16.87,28.57,56.41,23.52,0.37,6.83,Loamy Soil
32.18,14.89,27.35,56.62,23.64,0.31,7.16,Loamy Soil
26.79,14.22,23.56,52.31,21.02,0.32,6.48,Loamy Soil
35.38,19.45,28.94,58.41,24.91,0.35,7.18,Loamy Soil
40,14.87,31.86,60.42,26.34,0.39,6.86,Loamy Soil
26.89,13.47,21.07,50.91,18.36,0.29,7.45,Loamy Soil
31.39,16.7,25.49,55.27,22.57,0.33,6.99,Loamy Soil
38.49,20.26,28.93,60.73,25.93,0.36,6.72,Loamy Soil
32.78,17.14,26.38,55.82,24.15,0.3,6.94,Loamy Soil
26.87,12.96,20.78,50.12,19.1,0.26,7.1,Loamy Soil
35.59,17.66,29.13,56.23,24.01,0.38,7.35,Loamy Soil
31.88,14.62,26.87,55.86,23.2,0.34,7.07,Loamy Soil
27.49,14.55,23.8,51.56,20.91,0.36,7.32,Loamy Soil
36.14,18.57,29.07,58.79,24.47,0.29,7.05,Loamy Soil
40.7,13.97,32.14,60.4,26.08,0.38,6.71,Loamy Soil
25.79,12.98,20.36,50.01,17.86,0.33,6.89,Loamy Soil
31.3,16.34,24.72,54.82,22.24,0.36,7.27,Loamy Soil
39.38,20.12,28.43,60.63,25.71,0.32,7.47,Loamy Soil
33.71,17.76,26.17,55.09,23.18,0.28,7.01,Loamy Soil
27.86,12.27,19.98,50.09,18.1,0.34,6.68,Loamy Soil
36.58,16.87,28.46,56.47,23.54,0.37,6.83,Loamy Soil
32.18,14.89,27.35,56.62,23.65,0.31,7.16,Loamy Soil
26.79,14.22,23.58,52.31,21.04,0.32,6.48,Loamy Soil
35.38,19.45,28.94,58.41,24.93,0.35,7.18,Loamy Soil
40,14.87,31.86,60.42,26.35,0.39,6.86,Loamy Soil
26.89,13.47,21.07,50.9,18.37,0.29,7.45,Loamy Soil
31.39,16.7,25.49,55.27,22.58,0.33,6.99,Loamy Soil
38.49,20.26,28.93,60.73,25.94,0.36,6.72,Loamy Soil
32.78,17.14,26.38,55.82,24.17,0.3,6.94,Loamy Soil
26.87,12.96,20.78,50.11,19.09,0.26,7.1,Loamy Soil
35.59,17.66,29.13,56.23,24.02,0.38,7.35,Loamy Soil
31.88,14.52,26.77,55.76,23.42,0.34,7.07,Loamy Soil
27.49,14.45,23.8,51.56,20.91,0.36,7.32,Loamy Soil
36.14,18.57,29.07,58.79,24.47,0.29,7.05,Loamy Soil
40.7,13.97,32.14,60.4,26.08,0.38,6.71,Loamy Soil
25.79,12.98,20.36,50.01,17.86,0.33,6.89,Loamy Soil
31.3,16.34,24.72,54.82,22.24,0.36,7.27,Loamy Soil
39.38,20.12,28.43,60.63,25.71,0.32,7.47,Loamy Soil
33.71,17.76,26.17,55.09,23.18,0.28,7.01,Loamy Soil
27.86,12.27,19.98,50.09,18.1,0.34,6.68,Loamy Soil
36.58,16.87,28.46,56.47,23.54,0.37,6.83,Loamy Soil
32.08,14.61,26.87,55.96,23.09,0.34,7.08,Loamy Soil
27.69,14.44,23.79,51.66,20.77,0.36,7.33,Loamy Soil
36.24,18.56,29.11,58.28,24.44,0.29,7.03,Loamy Soil
40.79,13.96,32.13,60.1,26.1,0.38,6.7,Loamy Soil
25.87,12.87,20.37,50.04,17.75,0.33,6.91,Loamy Soil
31.19,16.33,24.76,54.84,22.18,0.36,7.29,Loamy Soil
39.28,19.92,28.35,60.59,25.78,0.32,7.48,Loamy Soil
33.6,17.57,26.13,55.07,23.32,0.28,7.02,Loamy Soil
27.75,12.17,19.88,50.14,18.12,0.34,6.69,Loamy Soil
36.43,16.78,28.59,56.44,23.49,0.37,6.84,Loamy Soil
32.09,14.89,27.36,56.64,23.61,0.31,7.17,Loamy Soil
26.7,14.25,23.53,52.33,21.01,0.32,6.49,Loamy Soil
35.35,19.67,29.06,58.4,24.88,0.35,7.19,Loamy Soil
39.9,15.06,31.69,60.44,26.36,0.39,6.86,Loamy Soil
26.98,13.37,21.17,50.91,18.38,0.29,7.45,Loamy Soil
31.31,16.71,25.55,55.27,22.56,0.33,6.98,Loamy Soil
38.4,20.45,28.86,60.7,25.95,0.36,6.72,Loamy Soil
32.71,17.14,26.39,55.82,24.18,0.3,6.94,Loamy Soil
26.87,12.96,20.77,50.12,19.09,0.26,7.11,Loamy Soil
35.54,17.65,29.12,56.24,24,0.38,7.35,Loamy Soil
31.88,14.62,26.87,55.96,23.09,0.34,7.08,Loamy Soil
27.69,14.44,23.79,51.66,20.77,0.36,7.33,Loamy Soil
36.24,18.56,29.11,58.28,24.44,0.29,7.03,Loamy Soil
40.79,13.96,32.13,60.1,26.1,0.38,6.7,Loamy Soil
25.87,12.87,20.37,50.04,17.75,0.33,6.91,Loamy Soil
31.19,16.33,24.76,54.84,22.18,0.36,7.29,Loamy Soil
39.28,19.92,28.35,60.59,25.78,0.32,7.48,Loamy Soil
33.6,17.57,26.13,55.07,23.32,0.28,7.02,Loamy Soil
27.75,12.17,19.88,50.14,18.12,0.34,6.69,Loamy Soil
36.43,16.78,28.59,56.44,23.49,0.37,6.84,Loamy Soil
32.09,14.61,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.88,27.37,56.65,23.6,0.31,7.17,Loamy Soil
26.71,14.24,23.54,52.34,21,0.32,6.48,Loamy Soil
35.36,19.66,29.05,58.39,24.87,0.35,7.19,Loamy Soil
39.91,15.05,31.7,60.45,26.37,0.39,6.86,Loamy Soil
26.99,13.36,21.16,50.92,18.39,0.29,7.45,Loamy Soil
31.32,16.7,25.56,55.28,22.57,0.33,6.99,Loamy Soil
38.41,20.44,28.85,60.71,25.96,0.36,6.72,Loamy Soil
32.72,17.13,26.4,55.81,24.19,0.3,6.94,Loamy Soil
26.88,12.95,20.76,50.13,19.08,0.26,7.11,Loamy Soil
35.55,17.64,29.11,56.25,24.01,0.38,7.35,Loamy Soil
32.09,14.62,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.61,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.88,27.37,56.65,23.6,0.31,7.17,Loamy Soil
26.71,14.24,23.54,52.34,21,0.32,6.48,Loamy Soil
35.36,19.66,29.05,58.39,24.87,0.35,7.19,Loamy Soil
39.91,15.05,31.7,60.45,26.37,0.39,6.86,Loamy Soil
26.99,13.36,21.16,50.92,18.39,0.29,7.45,Loamy Soil
31.32,16.7,25.56,55.28,22.57,0.33,6.99,Loamy Soil
38.41,20.44,28.85,60.71,25.96,0.36,6.72,Loamy Soil
32.72,17.13,26.4,55.81,24.19,0.3,6.94,Loamy Soil
26.88,12.95,20.76,50.13,19.08,0.26,7.11,Loamy Soil
35.55,17.64,29.11,56.25,24.01,0.38,7.35,Loamy Soil
32.1,14.62,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.61,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.88,27.37,56.65,23.6,0.31,7.17,Loamy Soil
26.71,14.24,23.54,52.34,21,0.32,6.48,Loamy Soil
35.36,19.66,29.05,58.39,24.87,0.35,7.19,Loamy Soil
39.91,15.05,31.7,60.45,26.37,0.39,6.86,Loamy Soil
26.99,13.36,21.16,50.92,18.39,0.29,7.45,Loamy Soil
31.32,16.7,25.56,55.28,22.57,0.33,6.99,Loamy Soil
38.41,20.44,28.85,60.71,25.96,0.36,6.72,Loamy Soil
32.72,17.13,26.4,55.81,24.19,0.3,6.94,Loamy Soil
26.88,12.95,20.76,50.13,19.08,0.26,7.11,Loamy Soil
35.55,17.64,29.11,56.25,24.01,0.38,7.35,Loamy Soil
32.1,14.62,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.61,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.88,27.37,56.65,23.6,0.31,7.17,Loamy Soil
26.71,14.24,23.54,52.34,21,0.32,6.48,Loamy Soil
35.36,19.66,29.05,58.39,24.87,0.35,7.19,Loamy Soil
39.91,15.05,31.7,60.45,26.37,0.39,6.86,Loamy Soil
26.99,13.36,21.16,50.92,18.39,0.29,7.45,Loamy Soil
31.32,16.7,25.56,55.28,22.57,0.33,6.99,Loamy Soil
38.41,20.44,28.85,60.71,25.96,0.36,6.72,Loamy Soil
32.72,17.13,26.4,55.81,24.19,0.3,6.94,Loamy Soil
26.88,12.95,20.76,50.13,19.08,0.26,7.11,Loamy Soil
35.55,17.64,29.11,56.25,24.01,0.38,7.35,Loamy Soil
32.1,14.62,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.88,27.37,56.65,23.6,0.31,7.17,Loamy Soil
26.71,14.24,23.54,52.34,21,0.32,6.48,Loamy Soil
35.36,19.66,29.05,58.39,24.87,0.35,7.19,Loamy Soil
39.91,15.05,31.7,60.45,26.37,0.39,6.86,Loamy Soil
26.99,13.36,21.16,50.92,18.39,0.29,7.45,Loamy Soil
31.32,16.7,25.56,55.28,22.57,0.33,6.99,Loamy Soil
38.41,20.44,28.85,60.71,25.96,0.36,6.72,Loamy Soil
32.72,17.13,26.4,55.81,24.19,0.3,6.94,Loamy Soil
26.88,12.95,20.76,50.13,19.08,0.26,7.11,Loamy Soil
35.55,17.64,29.11,56.25,24.01,0.38,7.35,Loamy Soil
32.1,14.62,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.61,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.88,27.37,56.65,23.6,0.31,7.17,Loamy Soil
26.71,14.24,23.54,52.34,21,0.32,6.48,Loamy Soil
35.36,19.66,29.05,58.39,24.87,0.35,7.19,Loamy Soil
39.91,15.05,31.7,60.45,26.37,0.39,6.86,Loamy Soil
26.99,13.36,21.16,50.92,18.39,0.29,7.45,Loamy Soil
31.32,16.7,25.56,55.28,22.57,0.33,6.99,Loamy Soil
38.41,20.44,28.85,60.71,25.96,0.36,6.72,Loamy Soil
32.72,17.13,26.4,55.81,24.19,0.3,6.94,Loamy Soil
26.88,12.95,20.76,50.13,19.08,0.26,7.11,Loamy Soil
35.55,17.64,29.11,56.25,24.01,0.38,7.35,Loamy Soil
32.1,14.62,26.88,55.95,23.08,0.34,7.09,Loamy Soil
27.7,14.43,23.78,51.67,20.76,0.36,7.34,Loamy Soil
36.25,18.55,29.09,58.29,24.45,0.29,7.04,Loamy Soil
40.8,13.97,32.12,60.11,26.11,0.38,6.71,Loamy Soil
25.88,12.86,20.38,50.05,17.74,0.33,6.9,Loamy Soil
31.2,16.32,24.77,54.85,22.17,0.36,7.28,Loamy Soil
39.29,19.91,28.34,60.6,25.79,0.32,7.48,Loamy Soil
33.61,17.56,26.14,55.08,23.33,0.28,7.02,Loamy Soil
27.76,12.16,19.87,50.15,18.13,0.34,6.68,Loamy Soil
36.44,16.77,28.58,56.45,23.48,0.37,6.83,Loamy Soil
32.1,14.88,27.37,56.65,23.6,0.31,7.17,Loamy Soil
26.71,14.24,23.54,52.34,21,0.32,6.48,Loamy Soil
35.36,19.66,29.05,58.39,24.87,0.35,7.19,Loamy Soil
39.91,15.05,31.7,60.45,26.37,0.39,6.86,Loamy Soil
26.99,13.36,21.16,50.92,18.39,0.29,7.45,Loamy Soil
31.32,16.7,25.56,55.28,22.57,0.33,6.99,Loamy Soil
38.41,20.44,28.85,60.71,25.96,0.36,6.72,Loamy Soil
